rank,ticker,mom_12_1,mom_6_1,pe,p_vp,ev_ebitda,dy,roe,debt_to_equity,profit_margin,value_score,quality_score,garp_score,dividend_score,momentum_score,composite_score,selic_real
12,RENT3,0.077107,-0.190354,12.029688,1.519889,5.369248,0.06,0.037009327463183715,2.3509889439907234,0.07381414,0.5117824590883348,-0.269356044388909,0.5333119527602506,0.4328746898721743,-0.2343645508841055,0.05351107621667702,0.1383
13,B3SA3,0.143616,-0.147151,16.446991,4.6863337,12.326322,0.03,0.09083135702891101,1.6135975937726148,0.44427922,-0.3565190309280675,1.080673388087969,-0.33570858241938195,-0.633852224455684,-0.010905333042383503,0.045593702378388876,0.1383
14,MULT3,0.018889,-0.154408,11.17194,2.2924583,8.754473,0.03,0.0632679049553008,0.9557916244630463,0.4341636,0.2480238206398563,0.9502428922237572,-0.11641869757897391,-0.633852224455684,-0.2588604270410489,0.02463782773095431,0.1383
15,VALE3,0.298905,-0.055646,40.15726,1.7748964,9.814371,0.07,0.03494865164021899,1.2939786664813593,0.03985436,-0.49801354004364,-0.23553360237875745,-0.8939974298486794,0.7884503279814608,0.4891096612866401,-0.0012186631370492806,0.1383
16,ITUB4,0.104971,-0.057458,10.765962,2.1225479,,0.08,,13.042806522063273,0.12420949,0.23961971603299323,-1.3342602532696777,0.08822275655432202,1.1440259660907466,0.12554347455133003,-0.060625541310165135,0.1383
17,WEGE3,0.240067,0.032527,34.72457,11.513945,24.663076,0.03,0.08154682138340721,1.3112040208813716,0.1662679,-2.291885880671693,0.3834354842105487,-0.6865478743029209,-0.633852224455684,0.5846145967825347,-0.11935044981819823,0.1383
18,TOTS3,-0.263247,-0.128864,14.020455,3.662456,14.2228985,0.02,0.12615121905637872,1.3808131684106186,0.22451735,-0.2988881188471605,0.8178298654672448,0.47973297929294717,-0.9894278625649702,-0.7224093526415922,-0.15828277024581155,0.1383
19,QUAL3,-0.149704,-0.191595,12.308492,0.31935546,2.6388388,0.01,0.023399887266841456,1.5346920412310816,0.025623314,0.7968161962503552,-0.3777247578204867,0.5982046912948438,-1.3450035006742562,-0.6575278321170224,-0.27373387659432763,0.1383
20,VIVT3,-0.090602,-0.305106,14.6979475,1.4778466,4.90978,0.05,0.023858184093093985,0.96207666240366,0.106947474,0.47589854818896143,-0.10788334279551892,-0.04095382304637604,0.07729905176288833,-0.8113195040096328,-0.2989754747770471,0.1383
21,EMBR3,0.176889,0.116446,30.195005,3.9276447,15.359954,0.0,0.05501041820048531,2.4554874063824337,0.054585017,-0.8071794427387844,-0.20664875610550734,-1.4864650431891886,-1.7005791387835425,0.6622095411919573,-0.32451480153438894,0.1383
22,SUZB3,-0.220166,-0.273189,7.2562933,1.1926959,6.581671,0.02,0.03625699239030148,2.4311048520792196,0.17139451,0.5956267676827499,-0.04861507879308491,-0.157036898828471,-0.9894278625649702,-0.9773666793722308,-0.4714571767614255,0.1383
23,KLBN11,-0.011593,-0.088676,46.928673,12.809519,19.062601,0.04,0.024200798642631804,2.986426005047123,0.02590756,-2.4054592020877457,-0.5498918394334374,-1.1525666869325129,-0.27827658634639785,-0.16286718426859872,-0.6740121578240439,0.1383
24,CSAN3,-0.609351,-0.447268,-1.7033277,3.0337281,15.006076,,0.005852456375771623,2.970362130766449,-0.22076976,0.1217145804768796,-1.2680342657488897,1.2795870571595858,0.0,-2.102339729372839,-0.8264538754193085,0.1383
25,MGLU3,-0.576179,-0.77179,50.760048,0.40233198,4.268747,0.01,-0.0064891132145271525,2.2160213269753837,0.0023118942,-0.2886283144899319,-0.7202380062100687,-1.2988693548335215,-1.3450035006742562,-2.7936571286618177,-1.684647505189864,0.1383
